time,plv,part,pven,qao,qper,qmv,vlv,vart,vven,accuracy,est,phase,cycle,cpu
26.0,0.2073,11.417505378418031,1.9360105188464922,0.0,79.01245716309616,345.7421037692984,52.956054231653724,785.4376344604508,4161.606311307895,-1,-1,-1,1,-1
28.0,0.2202,11.411184381844983,1.935121420024472,0.0,78.96719134850424,342.9842840048944,53.64753843919232,785.2796095461246,4161.072852014683,-1,-1,-1,1,-1
30.0,0.2329,11.404867006537101,1.9342413630489514,0.0,78.92188036240125,340.2682726097903,54.33350700720211,785.1216751634275,4160.544817829371,-1,-1,-1,1,-1
32.0,0.2457,11.398553256108107,1.9333702084081263,0.0,78.87652539749985,337.53404168162524,55.01404355242169,784.9638314027027,4160.022125044876,-1,-1,-1,1,-1
34.0,0.258,11.392243134076306,1.9325080166871793,0.0,78.83112597824272,334.90160333743586,55.68911163578494,784.8060783519077,4159.504810012308,-1,-1,-1,1,-1
36.0,0.2703,11.385936643998047,1.931654448429314,0.0,78.78568496307278,332.2708896858628,56.35891484245981,784.6484160999512,4158.9926690575885,-1,-1,-1,1,-1
38.0,0.2823,11.379633789201002,1.9308094977469061,0.0,78.74020242878413,329.7018995493812,57.023456621831535,784.4908447300251,4158.485698648144,-1,-1,-1,1,-1
40.0,0.2939,11.3733345730067,1.929972958756504,0.0,78.69468011875162,327.2145917513008,57.6828604209303,784.3333643251675,4157.983775253902,-1,-1,-1,1,-1
42.0,0.3054,11.3670389985972,1.9291445590510619,0.0,78.64912032955115,324.74891181021235,58.3372896044329,784.17597496493,4157.486735430637,-1,-1,-1,1,-1
44.0,0.3168,11.360747068970836,1.928324226412792,0.0,78.6035236879837,322.3048452825584,58.98678742805332,784.0186767242709,4156.994535847675,-1,-1,-1,1,-1
46.0,0.3285,11.354458787075796,1.9275118886741454,0.0,78.55789082001375,319.80237773482907,59.63139711861844,783.8614696768949,4156.507133204487,-1,-1,-1,1,-1
48.0,0.3398,11.348174155810193,1.9267077403844284,0.0,78.51222012854804,317.3815480768857,60.27100187408809,783.7043538952548,4156.024644230657,-1,-1,-1,1,-1
50.0,0.3512,11.341893178199907,1.925911509291268,0.0,78.466513907572,314.94230185825364,60.90576497024186,783.5473294549977,4155.546905574761,-1,-1,-1,1,-1
52.0,0.3623,11.3356158570873,1.9251232566647665,0.0,78.42077167018776,312.5646513329533,61.535649573958366,783.3903964271825,4155.07395399886,-1,-1,-1,1,-1
54.0,0.3734,11.329342195353684,1.92434277706589,0.0,78.37499515239828,310.18855541317805,62.16077887662427,783.2335548838421,4154.605666239534,-1,-1,-1,1,-1
56.0,0.3843,11.323072195741492,1.9235700651983536,0.0,78.32918442119282,307.8540130396707,62.781155987450624,783.0768048935373,4154.142039119012,-1,-1,-1,1,-1
58.0,0.3953,11.316805860987797,1.9228049824362916,0.0,78.28334065459589,305.5009964872583,63.396864013529964,782.9201465246949,4153.682989461775,-1,-1,-1,1,-1
60.0,0.4061,11.31054319373543,1.9220475902501828,0.0,78.23746336237707,303.1895180500365,64.00786600650449,782.7635798433857,4153.22855415011,-1,-1,-1,1,-1
