x,y,z,u,v,efx,efy,efz,esx,esy,esz,enx,eny,enz,xi,theta,phi
8.7955161889e-16,14.364168012,-47.736435154,-0.7679748070195205,1,-0.621438426,-0.596875384,-0.5074978409999999,-3.96640046e-17,-0.647762353,0.76184246,0.783463007,-0.473438179,-0.402544417,0.6852077291196549,2.673304979739568,1.570796326794897
8.0984750086e-16,13.225813376,-46.248930994,-0.7733479940175012,0.6108426331338541,-0.908874682,-0.398691995,-0.122439806,0.19204573,-0.660661468,0.725703013,0.370223244,-0.636059053,-0.677025577,0.6335143211849045,2.669790493230366,1.570796326794897
7.4113606216e-16,12.103670424,-44.891400861,-0.7786210020800878,0.2482617579301121,-0.966690106,-0.119666221,0.226252589,0.24593462,-0.679136747,0.691584732,-0.0708971155,-0.724191462,-0.685944841,0.5818209132811701,2.666367949101199,1.570796326794897
6.7326377444e-16,10.995231848,-43.660406911,-0.7855147204127839,-0.09386620757991559,-0.812049816,0.133966638,0.568003553,0.336639492,-0.687509772,0.643431555,-0.476706355,-0.713710903,-0.513193723,0.5301275053464197,2.663068671770688,1.570796326794897
6.0608996995e-16,9.8982003688,-42.552864952,-0.793200365580521,-0.4150438704525561,-0.529114452,0.332921814,0.780513269,0.430590569,-0.687253366,0.585042368,-0.731183738,-0.6456360249999999,-0.220282695,0.4784340974116693,2.659925821143196,1.570796326794897
5.3948753271e-16,8.8105000247,-41.566033286,-0.8016724900915578,-0.7152863924941522,-0.291976191,0.477079339,0.828942222,0.392357477,-0.730674237,0.558722444,-0.872241661,-0.48837533,-0.026153835,0.426740689507935,2.656973852389223,1.570796326794897
4.733434295e-16,7.7302848435,-40.697501182,-0.8116756009600808,-1,-0.289098214,0.536261794,0.7929978,-5.07230118e-17,-0.828369646,0.560181872,-0.957299443,-0.161947579,-0.239480185,0.3750472815731846,2.65424782250543,1.570796326794897
4.8262040086,11.651487172,-49.115825077,-0.8009669252058327,1,-0.8152628159999999,-0.350266537,-0.46115062,-0.224733487,-0.542554633,0.8094005990000001,0.53370535,-0.763510198,-0.363607997,0.6852077291196549,2.734125657115821,1.178097245096172
4.4443394556,10.72958459,-47.607231058,-0.8058180792103716,0.60550961863494,-0.996739923,-0.0340818162,-0.0731297192,-0.0349514496,-0.6345360370000001,0.7721025929999999,0.0727181008,-0.7721414680000001,-0.631276192,0.6335143211849045,2.731067628169044,1.178097245096172
4.0678080009,9.8205572448,-46.23073247,-0.8113805280517021,0.2397202590692802,-0.927858093,0.267177175,0.260184005,0.0128003298,-0.674441649,0.738217186,-0.372713712,-0.688291231,-0.622366186,0.5818209132811701,2.728089600229199,1.178097245096172
3.6957670297,8.9223708864,-44.982797109,-0.8176959517257515,-0.1035030643361473,-0.672689051,0.459027183,0.5803304969999999,0.101713672,-0.7194976239999999,0.687006185,-0.732900928,-0.5211690839999999,-0.437308834,0.5301275053464197,2.72521882933458,1.178097245096172
3.327445617,8.033164336700001,-43.860248318,-0.8247931574004578,-0.4236173137018271,-0.330820376,0.5491818040000001,0.767435486,0.192792603,-0.756742448,0.624637398,-0.923790502,-0.354598664,-0.144467631,0.4784340974116693,2.722484168618398,1.178097245096172
2.9621486118,7.1512593523,-42.86025426,-0.833429259501695,-0.7206561708781443,-0.0599843614,0.60338291,0.795192392,0.131850485,-0.7848574109999999,0.605486824,-0.989453044,-0.141166243,0.0324771587,0.426740689507935,2.719915598252288,1.178097245096172
2.5992598257,6.2751683233,-41.980317099,-0.8420608496141451,-1,-0.0372451914,0.660118601,0.750237448,-0.299714644,-0.7235751580000001,0.621779802,-0.9533015929999999,0.201698842,-0.224796907,0.3750472815731846,2.717543622069539,1.178097245096172
8.4484349356,8.4484349356,-49.582405099,-0.8125558095706299,1,-0.896629864,-0.0218903823,-0.442239414,-0.397973094,-0.397973094,0.826580203,0.194093544,-0.917135883,-0.348122778,0.6852077291196549,2.756728361342331,0.7853981633974483
7.7803254203,7.7803254203,-48.066719436,-0.8171874413413258,0.6034176032710883,-0.936360497,0.346930234,-0.0535577479,-0.252699623,-0.560256414,0.788831827,-0.243663538,-0.752164984,-0.612271114,0.6335143211849045,2.753839965088259,0.7853981633974483
7.1214850222,7.1214850222,-46.683844829,-0.8225175188936743,0.2363564755325391,-0.748615199,0.604255031,0.272857366,-0.222487537,-0.616638174,0.7551534,-0.624559509,-0.50461195,-0.596063923,0.5818209132811701,2.751027132085144,0.7853981633974483
6.4704385944,6.4704385944,-45.430216977,-0.8293605866025086,-0.1073141457902368,-0.431925912,0.687011423,0.584341776,-0.154441738,-0.694664062,0.702559314,-0.888587506,-0.213206813,-0.406146647,0.5301275053464197,2.748315606444729,0.7853981633974483
